,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Heavy and yelling,Electronic,"Loud, Dense & Raspy",Piano&Synth,Fast,Wind Instruments,Intellectual,Easy listening,Aggressive,Lyrics vs Melody
0,4.75,3.75,2.25,4.25,3.0,1.785672799505005,-0.19981416802715074,0.07379846236448631,0.41943803066764707,-0.08839110798469965,1.7326114371939167,0.9397113672184731,0.2965374642127935,0.8574669061760047,2
1,3.25,2.5,4.0,4.0,2.5,1.029024110103482,0.03582660903897682,-0.005663872819054027,-0.22153717863833566,0.45931887079274814,-0.5303361565705259,0.1697616367510572,0.38134693476497117,0.8310790755881626,4
2,3.75,2.25,2.0,2.0,3.0,-0.9483169753334305,-0.633667039743569,-0.6122635879010685,0.15239897214084383,0.40051584333365603,0.9142023883624126,-2.0872350825121972,-1.2408040900870048,-0.8116301169527931,1
3,5.0,3.25,2.0,3.75,3.0,-0.3849648423749458,1.0813324963373059,-0.8140692874791705,-1.1164405216404985,0.13791161129797253,-0.3946221604525707,0.6221507482708788,-2.2621317128667977,1.2182160725132407,2
4,3.75,1.75,3.0,4.75,3.0,-0.8301006817251586,-0.09965308769863516,-0.5194629061928743,0.5075052169110098,0.294657871866769,1.1053377659984103,1.142055289532245,-0.126231916696604,-1.6591352566629953,2
5,3.75,1.5,3.75,4.0,1.25,0.6186885713024206,0.7994542756173353,-0.38359406953043473,-0.8137498562222298,-1.0794575001440323,-0.20484171104948662,-0.4029873702923136,-0.1248931860436583,0.11433974408522618,2
6,4.75,3.5,2.5,4.75,1.75,0.0865156980352687,1.1104733300806122,0.4188719686905763,-1.766666783901519,-1.3261574035421073,0.39585629716362897,-1.71048599588151,-0.27096511480502145,-0.11542854758533654,2
7,3.5,2.75,2.0,4.75,5.0,-0.5669727777990008,-0.9019109472105665,-1.488920806060575,1.2241017052951517,-1.1224673727096326,-1.0259704942934789,-0.05198070874884386,0.5296053467926662,-1.4660090870994957,1
8,3.25,2.5,2.25,3.5,2.25,0.8350785224263647,-0.3664806039914427,-0.528576921543713,0.5593136133094945,-0.8477067613032925,-0.21617711799689038,-0.04419257635490583,0.41413119348023486,0.9316176798111923,1
9,3.75,2.5,3.25,3.75,3.5,0.15953545408647715,1.2336565849890686,-1.1616428169708417,0.7001851182241466,0.5234716710553627,-0.08265559267237865,-0.8686503092018091,0.5903159344717219,-0.009399620833923903,1
10,4.0,3.25,2.25,4.75,2.0,-0.8993599105959106,-0.1655494963010055,0.22743497524592096,-1.1588629600146552,0.2567213863581607,0.04328005926727981,-0.12411282973432557,-0.059624569581982444,-1.5679613533063965,4
11,3.25,1.0,2.5,3.75,3.0,-0.1972446616474029,0.3200381539433097,-1.0530673684922511,0.12130271773788119,0.525322349794107,-0.6640786189283803,-0.9462025672542699,1.0785210531878737,0.19373783214983648,4
12,2.75,3.0,2.25,4.0,3.0,1.7458536404303173,-1.2073708728778538,-0.2714079822721175,0.39582635484912027,0.6926351848607509,-0.2160261728946971,-0.9134948374470296,-1.539788436206631,1.4804829534660318,1
13,3.0,2.0,2.75,5.0,3.25,1.0327214874532105,-0.41892679607467515,0.7825914434694586,0.028708691315635748,0.5261055580716036,-0.07347283821996232,-0.9266808877653651,-0.9694246750775196,0.8235634784991415,1
14,4.0,1.5,2.75,3.75,2.0,-0.9048021721656313,-1.105894512902641,1.2465079313092393,0.5544717295809748,0.993064340376776,-0.7039686061136925,-1.0905854020339198,0.3066389489259763,-0.5850807625126213,5
15,3.75,2.75,2.75,3.25,3.0,0.028040840592478817,0.5640817581725794,-0.5388169505310014,-0.20388484550357122,0.07317875350615911,-0.0063832293980820845,0.5893812282921327,-0.37343766314481786,0.697798856501649,2
16,3.25,3.5,3.25,3.25,3.0,-0.5905686267195279,0.3296472468456641,0.33011007445123947,1.1101907733011118,-2.5920038565347854,1.1417010839238058,0.0754285008088159,0.8527441957913059,-1.4569223643090876,2
17,3.25,2.5,3.5,3.25,3.25,0.7342941149302935,-1.086118987779104,0.5170428419191248,0.5870912507645722,0.46034469181729176,-0.5074606955976791,0.1869468432516454,0.9868773274597609,1.7174977227034198,4
18,4.0,3.25,3.25,3.75,2.25,0.41398548311487954,1.4581047290077094,1.2227630979399993,1.0543063236113182,-1.061289563799954,-1.4391685046652078,1.1711587417697273,1.2420384344105717,0.8993302138069594,2
19,3.25,4.25,3.5,3.0,1.5,-1.1176207800417122,-1.0479658077415497,-0.03338841329917327,-0.8506597738017497,-0.10106545332834455,1.7880691369653385,-0.07569429175221078,0.9697215236607174,-0.6039268845882069,4
20,4.5,3.0,3.5,3.75,2.25,1.4870682288665045,0.07546811440777337,0.8811944828941404,-2.1548467611759974,0.14904719418796888,-0.8639789646482583,-0.38275426065144447,1.0797243267760024,1.560981772943723,3
21,4.5,4.0,2.25,3.0,4.0,-1.347479945174809,-0.7432610291087549,-1.863010004140596,-0.3208347407294738,-0.22313112219472603,-0.9631525287057735,1.3742065749084909,0.2623349840241612,-1.4559628337021722,3
22,4.0,3.0,3.25,4.0,4.0,0.12636908677338154,0.12813362542713966,0.9930265573683875,0.8349848845140247,-0.9328481345982497,-0.37277770474828287,0.19020718107407078,-0.5483342848456655,-0.771145483846351,1
